"TIME","U1:D(OP)"
0.4390932919,5.58086
0.4391583583,5.6663
0.4392378574,5.69721
0.4393968556,5.51825
0.4394745204,5.31663
0.4395122969,5.19216
0.4395497266,5.05241
0.4395621793,5.00234
0.4395743112,4.9519
0.4395875504,4.895
0.4396007217,4.83651
0.4396270641,4.71402
0.4396797491,4.44808
0.4397851189,3.84208
0.4399958587,2.42646
0.4402235969,0.782949
0.4404815966,-0.91154
0.4405881102,-1.50764
0.4406864104,-1.97257
0.4407388139,-2.18161
0.440798659,-2.38322
0.4408769777,-2.58382
0.4409565469,-2.71244
0.4411156853,-2.74346
0.4414339621,-1.98833
0.4415538741,-1.44344
0.4416229939,-1.07176
0.4416552132,-0.885332
0.4416686129,-0.805478
0.4416790342,-0.74249
0.4416891592,-0.680581
0.4417000641,-0.613145
0.4417218738,-0.476011
0.4417654931,-0.1934
0.4418527319,0.399177
0.4420272094,1.64006
0.4422898667,3.42377
0.4425389771,4.76474
0.4425741749,4.91705
0.4426445703,5.18867
0.4426731495,5.28463
0.4426914687,5.34136
0.4427088346,5.39148
0.4427256501,5.43655
0.4427592811,5.51617
0.4428265431,5.63241
0.4429610672,5.69026
0.443148418,5.39161
0.4432216937,5.15802
0.4432572995,5.02164
0.4432728846,4.95736
0.4432870442,4.89661
0.4433012737,4.83337
0.4433190842,4.75116
0.4433547054,4.57694
0.4434259476,4.19213
0.443568432,3.30346
0.4437931428,1.7169
0.444029518,0.0366211
0.4441733061,-0.897267
0.4442461135,-1.32445
0.4442878711,-1.55096
0.444320596,-1.71734
0.4443546684,-1.8791
0.4444228131,-2.16474
0.4444832652,-2.37398
0.4445565353,-2.56979
0.4446269863,-2.69714
0.4447678885,-2.77262
0.4450496928,-2.26037
0.4451971649,-1.66912
0.4453343146,-0.949735
0.4453832541,-0.657144
0.4454053195,-0.519645
0.4454237494,-0.402412
0.4454418286,-0.285456
0.445465505,-0.129578
0.4455128578,0.190321
0.4456075634,0.854364
0.4457969746,2.20807
0.4460355119,3.77314
0.4462970971,5.04479
0.4464110303,5.40764
0.4465170886,5.61519
0.4465763674,5.6722
0.446650706,5.68079
0.4467993833,5.48868
0.446873051,5.29227
0.4469063739,5.18193
0.4469192765,5.13567
0.4469358698,5.07334
0.4469466445,5.03119
0.4469605638,4.97482
0.4469884022,4.8557
0.4470440792,4.5931
0.4471554332,3.98118
0.4473781411,2.51657
0.4476061186,0.880976
0.4478689698,-0.849405
0.4479772569,-1.45961
0.4480783424,-1.94108
0.4481243785,-2.1278
0.4481858575,-2.34086
0.4482434393,-2.50083
0.4483124663,-2.64057
0.4484505202,-2.74877
0.448726628,-2.32391
0.4488760711,-1.76502
0.449039717,-0.930098
0.4490911432,-0.623906
0.4491156755,-0.471254
0.4491361414,-0.341008
0.4491562215,-0.210869
0.4491850789,-0.0201344
0.4492427936,0.372516
0.4493582229,1.18712
0.4495890817,2.80361
0.4498272894,4.24516
0.45,5.03336
