X,CH1,
Second,Volt,
1.54E-03,9.92E-01,
1.55E-03,9.86E-01,
1.55E-03,9.92E-01,
1.56E-03,9.86E-01,
1.56E-03,9.92E-01,
1.57E-03,9.86E-01,
1.57E-03,9.86E-01,
1.58E-03,9.86E-01,
1.58E-03,9.92E-01,
1.59E-03,9.80E-01,
1.59E-03,9.86E-01,
1.60E-03,9.86E-01,
1.60E-03,9.86E-01,
1.61E-03,9.86E-01,
1.61E-03,9.86E-01,
1.62E-03,9.80E-01,
1.62E-03,9.86E-01,
1.63E-03,9.80E-01,
1.63E-03,9.92E-01,
1.63E-03,9.80E-01,
1.64E-03,9.86E-01,
1.65E-03,9.86E-01,
1.65E-03,9.86E-01,
1.66E-03,9.73E-01,
1.66E-03,9.80E-01,
1.66E-03,9.73E-01,
1.67E-03,9.80E-01,
1.68E-03,9.80E-01,
1.68E-03,9.80E-01,
1.69E-03,9.80E-01,
1.69E-03,9.73E-01,
1.69E-03,9.73E-01,
1.70E-03,9.92E-01,
1.71E-03,9.80E-01,
1.71E-03,9.86E-01,
1.72E-03,9.80E-01,
1.72E-03,9.80E-01,
1.73E-03,9.80E-01,
1.73E-03,9.73E-01,
1.74E-03,9.80E-01,
1.74E-03,9.86E-01,
1.75E-03,9.73E-01,
1.75E-03,9.80E-01,
1.76E-03,9.73E-01,
1.76E-03,9.86E-01,
1.77E-03,9.80E-01,
1.77E-03,9.86E-01,
1.78E-03,9.80E-01,
1.78E-03,9.86E-01,
1.79E-03,9.80E-01,
1.79E-03,9.80E-01,
1.80E-03,9.80E-01,
1.80E-03,9.80E-01,
1.81E-03,9.80E-01,
1.81E-03,9.86E-01,
1.82E-03,9.80E-01,
1.82E-03,9.86E-01,
1.83E-03,9.80E-01,
1.83E-03,9.80E-01,
1.84E-03,9.80E-01,
1.84E-03,9.86E-01,
1.85E-03,9.86E-01,
1.85E-03,9.86E-01,
1.86E-03,9.92E-01,
1.86E-03,9.80E-01,
1.87E-03,9.80E-01,
1.87E-03,9.80E-01,
1.88E-03,9.80E-01,
1.88E-03,9.80E-01,
1.89E-03,9.86E-01,
1.89E-03,9.86E-01,
1.89E-03,9.86E-01,
1.90E-03,9.80E-01,
1.91E-03,9.92E-01,
1.91E-03,9.86E-01,
1.92E-03,9.92E-01,
1.92E-03,9.92E-01,
1.92E-03,9.92E-01,
1.93E-03,9.86E-01,
1.94E-03,9.92E-01,
1.94E-03,9.86E-01,
1.95E-03,9.86E-01,
1.95E-03,9.86E-01,
1.95E-03,9.86E-01,
1.96E-03,9.86E-01,
1.97E-03,9.92E-01,
1.97E-03,9.86E-01,
1.98E-03,9.92E-01,
1.98E-03,9.92E-01,
1.98E-03,9.92E-01,
1.99E-03,9.92E-01,
2.00E-03,9.92E-01,
2.00E-03,9.92E-01,
2.01E-03,9.92E-01,
2.01E-03,9.92E-01,
2.01E-03,9.92E-01,
2.02E-03,9.92E-01,
2.03E-03,9.92E-01,
2.03E-03,9.92E-01,
2.04E-03,9.92E-01,
2.04E-03,9.92E-01,
2.05E-03,9.92E-01,
2.05E-03,9.92E-01,
2.06E-03,9.92E-01,
2.06E-03,9.92E-01,
2.07E-03,9.92E-01,
2.07E-03,9.99E-01,
2.08E-03,9.99E-01,
2.08E-03,9.92E-01,
2.09E-03,9.99E-01,
2.09E-03,9.92E-01,
2.10E-03,9.99E-01,
2.10E-03,9.99E-01,
2.10E-03,9.99E-01,
2.11E-03,9.92E-01,
2.12E-03,9.99E-01,
2.12E-03,9.92E-01,
2.13E-03,9.99E-01,
2.13E-03,9.99E-01,
2.13E-03,9.99E-01,
2.14E-03,9.92E-01,
2.15E-03,9.92E-01,
2.15E-03,9.99E-01,
2.15E-03,9.99E-01,
2.16E-03,9.99E-01,
2.17E-03,9.99E-01,
2.17E-03,9.99E-01,
2.18E-03,9.99E-01,
2.18E-03,1.00E+00,
2.18E-03,9.99E-01,
2.19E-03,9.99E-01,
2.20E-03,9.99E-01,
2.20E-03,1.00E+00,
2.21E-03,1.00E+00,
2.21E-03,1.00E+00,
2.21E-03,9.99E-01,
2.22E-03,1.00E+00,
2.23E-03,9.99E-01,
2.23E-03,1.00E+00,
2.24E-03,9.99E-01,
2.24E-03,1.00E+00,
2.24E-03,1.00E+00,
2.25E-03,1.00E+00,
2.26E-03,1.00E+00,
2.26E-03,1.01E+00,
2.26E-03,1.00E+00,
2.27E-03,1.00E+00,
2.27E-03,1.00E+00,
2.28E-03,1.00E+00,
2.29E-03,1.00E+00,
2.29E-03,1.01E+00,
2.29E-03,1.00E+00,
2.30E-03,1.01E+00,
2.30E-03,1.01E+00,
2.31E-03,1.01E+00,
2.32E-03,1.00E+00,
2.32E-03,1.01E+00,
2.33E-03,1.00E+00,
2.33E-03,1.00E+00,
2.33E-03,1.00E+00,
2.34E-03,1.01E+00,
2.35E-03,1.01E+00,
2.35E-03,1.01E+00,
2.35E-03,1.01E+00,
2.36E-03,1.01E+00,
2.36E-03,1.01E+00,
2.37E-03,1.01E+00,
2.38E-03,1.01E+00,
2.38E-03,1.01E+00,
2.39E-03,1.01E+00,
2.39E-03,1.02E+00,
2.39E-03,1.01E+00,
2.40E-03,1.01E+00,
2.41E-03,1.01E+00,
2.41E-03,1.01E+00,
2.42E-03,1.01E+00,
2.42E-03,1.01E+00,
2.42E-03,1.01E+00,
2.43E-03,1.01E+00,
2.44E-03,1.01E+00,
2.44E-03,1.01E+00,
2.45E-03,1.01E+00,
2.45E-03,1.01E+00,
2.45E-03,1.00E+00,
2.46E-03,1.01E+00,
2.47E-03,1.02E+00,
2.47E-03,1.00E+00,
2.48E-03,1.01E+00,
2.48E-03,1.00E+00,
2.48E-03,1.01E+00,
2.49E-03,1.01E+00,
2.50E-03,1.01E+00,
2.50E-03,1.02E+00,
2.51E-03,1.02E+00,
2.51E-03,1.02E+00,
2.51E-03,1.01E+00,
2.52E-03,1.01E+00,
2.53E-03,1.01E+00,
2.53E-03,1.01E+00,
2.54E-03,1.01E+00,
2.54E-03,1.01E+00,
2.54E-03,1.01E+00,
2.55E-03,1.01E+00,
2.56E-03,1.01E+00,
2.56E-03,1.01E+00,
2.57E-03,1.02E+00,
2.57E-03,1.01E+00,
2.57E-03,1.01E+00,
2.58E-03,1.01E+00,
2.59E-03,1.01E+00,
2.59E-03,1.01E+00,
2.60E-03,1.01E+00,
2.60E-03,1.01E+00,
2.60E-03,1.01E+00,
2.61E-03,1.01E+00,
2.62E-03,1.02E+00,
2.62E-03,1.01E+00,
2.63E-03,1.00E+00,
2.63E-03,1.02E+00,
2.63E-03,1.02E+00,
2.64E-03,1.01E+00,
2.65E-03,1.01E+00,
2.65E-03,1.01E+00,
2.66E-03,1.01E+00,
2.66E-03,1.00E+00,
2.66E-03,1.01E+00,
2.67E-03,1.01E+00,
2.67E-03,1.01E+00,
2.68E-03,1.01E+00,
2.69E-03,1.00E+00,
2.69E-03,1.01E+00,
2.69E-03,1.01E+00,
2.70E-03,1.00E+00,
2.70E-03,1.01E+00,
2.71E-03,1.01E+00,
2.72E-03,1.02E+00,
2.72E-03,1.01E+00,
2.72E-03,1.02E+00,
2.73E-03,1.01E+00,
2.73E-03,1.01E+00,
2.74E-03,1.01E+00,
2.75E-03,1.02E+00,
2.75E-03,1.01E+00,
2.75E-03,1.00E+00,
2.76E-03,1.01E+00,
2.76E-03,1.01E+00,
2.77E-03,1.01E+00,
2.78E-03,1.02E+00,
2.78E-03,1.00E+00,
2.78E-03,1.01E+00,
2.79E-03,1.00E+00,
2.79E-03,1.00E+00,
2.80E-03,1.01E+00,
2.81E-03,1.02E+00,
2.81E-03,1.02E+00,
2.81E-03,1.01E+00,
2.82E-03,1.01E+00,
2.82E-03,1.01E+00,
2.83E-03,1.00E+00,
2.84E-03,1.01E+00,
2.84E-03,1.01E+00,
2.84E-03,1.01E+00,
2.85E-03,1.00E+00,
2.85E-03,1.00E+00,
2.86E-03,1.02E+00,
2.87E-03,1.00E+00,
2.87E-03,1.00E+00,
2.87E-03,1.01E+00,
2.88E-03,1.00E+00,
2.88E-03,1.01E+00,
2.89E-03,1.00E+00,
2.90E-03,1.01E+00,
2.90E-03,1.00E+00,
2.90E-03,1.00E+00,
2.91E-03,1.00E+00,
2.91E-03,1.00E+00,
2.92E-03,1.01E+00,
