X,CH1,
Second,Volt,
8.70E-03,1.98E+00,
8.72E-03,1.98E+00,
8.74E-03,1.98E+00,
8.76E-03,1.97E+00,
8.78E-03,1.97E+00,
8.80E-03,1.98E+00,
8.82E-03,1.98E+00,
8.84E-03,1.97E+00,
8.86E-03,1.98E+00,
8.88E-03,1.97E+00,
8.90E-03,1.97E+00,
8.92E-03,1.98E+00,
8.94E-03,1.98E+00,
8.96E-03,1.97E+00,
8.98E-03,1.98E+00,
9.00E-03,1.97E+00,
9.02E-03,1.98E+00,
9.04E-03,1.97E+00,
9.06E-03,1.98E+00,
9.08E-03,1.98E+00,
9.10E-03,1.97E+00,
9.12E-03,1.98E+00,
9.14E-03,1.98E+00,
9.16E-03,1.97E+00,
9.18E-03,1.97E+00,
9.20E-03,1.98E+00,
9.22E-03,1.97E+00,
9.24E-03,1.99E+00,
9.26E-03,1.97E+00,
9.28E-03,1.99E+00,
9.30E-03,1.97E+00,
9.32E-03,1.98E+00,
9.34E-03,1.98E+00,
9.36E-03,1.97E+00,
9.38E-03,1.98E+00,
9.40E-03,1.97E+00,
9.42E-03,1.98E+00,
9.44E-03,1.97E+00,
9.46E-03,1.97E+00,
9.48E-03,1.99E+00,
9.50E-03,1.97E+00,
9.52E-03,1.98E+00,
9.54E-03,1.97E+00,
9.56E-03,1.99E+00,
9.58E-03,1.98E+00,
9.60E-03,1.99E+00,
9.62E-03,1.98E+00,
9.64E-03,1.97E+00,
9.66E-03,1.98E+00,
9.68E-03,2.00E+00,
9.70E-03,1.98E+00,
9.72E-03,1.99E+00,
9.74E-03,1.98E+00,
9.76E-03,1.98E+00,
9.78E-03,1.97E+00,
9.80E-03,1.99E+00,
9.82E-03,1.99E+00,
9.84E-03,1.98E+00,
9.86E-03,1.98E+00,
9.88E-03,1.99E+00,
9.90E-03,1.99E+00,
9.92E-03,1.98E+00,
9.94E-03,1.98E+00,
9.96E-03,2.00E+00,
9.98E-03,1.98E+00,
1.00E-02,1.99E+00,
1.00E-02,1.99E+00,
1.00E-02,2.00E+00,
1.01E-02,1.99E+00,
1.01E-02,1.99E+00,
1.01E-02,1.99E+00,
1.01E-02,1.98E+00,
1.01E-02,1.98E+00,
1.02E-02,1.99E+00,
1.02E-02,1.99E+00,
1.02E-02,1.99E+00,
1.02E-02,1.99E+00,
1.02E-02,1.99E+00,
1.03E-02,2.00E+00,
1.03E-02,1.98E+00,
1.03E-02,1.99E+00,
1.03E-02,2.00E+00,
1.03E-02,1.99E+00,
1.04E-02,1.99E+00,
1.04E-02,1.98E+00,
1.04E-02,2.00E+00,
1.04E-02,1.99E+00,
1.04E-02,2.00E+00,
1.05E-02,2.00E+00,
1.05E-02,1.99E+00,
1.05E-02,2.00E+00,
1.05E-02,2.00E+00,
1.05E-02,1.99E+00,
1.06E-02,2.00E+00,
1.06E-02,2.00E+00,
1.06E-02,1.99E+00,
1.06E-02,1.99E+00,
1.06E-02,2.00E+00,
1.07E-02,2.00E+00,
1.07E-02,1.99E+00,
1.07E-02,2.00E+00,
1.07E-02,2.00E+00,
1.07E-02,2.02E+00,
1.08E-02,1.99E+00,
1.08E-02,2.02E+00,
1.08E-02,1.99E+00,
1.08E-02,2.00E+00,
1.08E-02,2.00E+00,
1.09E-02,2.02E+00,
1.09E-02,2.00E+00,
1.09E-02,2.00E+00,
1.10E-02,2.02E+00,
1.10E-02,2.00E+00,
1.10E-02,2.02E+00,
1.10E-02,2.02E+00,
1.10E-02,2.00E+00,
1.11E-02,2.00E+00,
1.11E-02,2.00E+00,
1.11E-02,2.02E+00,
1.11E-02,2.00E+00,
1.11E-02,2.02E+00,
1.12E-02,2.00E+00,
1.12E-02,2.00E+00,
1.12E-02,2.02E+00,
1.12E-02,2.02E+00,
1.12E-02,2.00E+00,
1.13E-02,2.02E+00,
1.13E-02,2.00E+00,
1.13E-02,2.00E+00,
1.13E-02,2.02E+00,
1.13E-02,2.02E+00,
1.14E-02,2.00E+00,
1.14E-02,2.02E+00,
1.14E-02,2.00E+00,
1.14E-02,2.02E+00,
1.14E-02,2.02E+00,
1.15E-02,2.02E+00,
1.15E-02,2.00E+00,
1.15E-02,2.02E+00,
1.15E-02,2.00E+00,
1.15E-02,2.02E+00,
1.16E-02,2.00E+00,
1.16E-02,2.02E+00,
1.16E-02,2.00E+00,
1.16E-02,2.02E+00,
1.16E-02,2.00E+00,
1.17E-02,2.02E+00,
1.17E-02,2.00E+00,
1.17E-02,2.02E+00,
1.17E-02,2.00E+00,
1.17E-02,2.02E+00,
1.18E-02,2.00E+00,
